NUM,DataTime,LMD,SensorVal,Unit,Pos
1,00:00:01,102.5,-0.224,με,位置1
2,00:00:04,102.5,-0.234,με,位置1
3,00:00:05,102.5,-0.234,με,位置1
4,00:00:07,102.5,-0.234,με,位置1
5,00:00:09,102.5,-0.234,με,位置1
6,00:00:11,102.5,-0.244,με,位置1
7,00:00:13,102.5,-0.215,με,位置1
8,00:00:15,102.5,-0.244,με,位置1
9,00:00:17,102.5,-0.244,με,位置1
10,00:00:19,102.5,-0.244,με,位置1
11,00:00:21,102.5,-0.244,με,位置1
12,00:00:23,102.5,-0.244,με,位置1
13,00:00:25,102.5,-0.244,με,位置1
14,00:00:27,102.5,-0.244,με,位置1
15,00:00:29,102.5,-0.244,με,位置1
16,00:00:31,102.5,-0.254,με,位置1
17,00:00:33,102.5,-0.244,με,位置1
18,00:00:35,102.5,-0.254,με,位置1
19,00:00:37,102.5,-0.254,με,位置1
20,00:00:39,102.5,-0.254,με,位置1
21,00:00:41,102.5,-0.254,με,位置1
22,00:00:43,102.5,-0.254,με,位置1
23,00:00:45,102.5,-0.273,με,位置1
24,00:00:47,102.5,-0.273,με,位置1
25,00:00:49,102.5,-0.273,με,位置1
26,00:00:51,102.5,-0.283,με,位置1
27,00:00:53,102.5,-0.283,με,位置1
28,00:00:55,102.5,-0.283,με,位置1
29,00:00:57,102.5,-0.302,με,位置1
30,00:00:59,102.5,-0.302,με,位置1
31,00:01:01,102.5,-0.302,με,位置1
32,00:01:03,102.5,-0.302,με,位置1
33,00:01:05,102.5,-0.302,με,位置1
34,00:01:07,102.5,-0.332,με,位置1
35,00:01:09,102.5,-0.332,με,位置1
36,00:01:11,102.5,-0.332,με,位置1
37,00:01:13,102.5,-0.341,με,位置1
38,00:01:15,102.5,-0.341,με,位置1
39,00:01:19,102.5,-0.361,με,位置1
40,00:01:21,102.5,-0.371,με,位置1
41,00:01:23,102.5,-0.371,με,位置1
42,00:01:25,102.5,-0.390,με,位置1
43,00:01:27,102.5,-0.390,με,位置1
44,00:01:29,102.5,-0.390,με,位置1
45,00:01:31,102.5,-0.410,με,位置1
46,00:01:33,102.5,-0.390,με,位置1
47,00:01:35,102.5,-0.410,με,位置1
48,00:01:37,102.5,-0.410,με,位置1
49,00:01:39,102.5,-0.429,με,位置1
50,00:01:41,102.5,-0.429,με,位置1
51,00:01:43,102.5,-0.439,με,位置1
52,00:01:45,102.5,-0.439,με,位置1
53,00:01:47,102.5,-0.459,με,位置1
